source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
faketruebr,money (Money),10,1.61361705538495,1.822646508910256,10,2.6952024846268343,1.9595824015226915,-1.0815854292418843,1.0815854292418843,29.0,0.1184202171617957,-0.5715557020679414,medium,False,False,machine
faketruebr,interrog (Interrogatives),10,3.0052205708991018,1.570285867863352,10,3.7411783795719478,1.054927598095401,-0.735957808672846,0.735957808672846,35.0,0.27303633975118835,-0.550182905561773,medium,False,False,machine
faketruebr,hear (Hear),10,0.7640241136290303,0.887957327635455,10,0.3739844376446556,0.4725257605114083,0.3900396759843747,0.3900396759843747,58.5,0.5181817623957422,0.5483873570654807,medium,False,False,human
faketruebr,motion (Motion),10,5.531522559243497,3.3649403007611096,10,4.16279181157636,1.3826481802193915,1.3687307476671364,1.3687307476671364,68.0,0.18587673236587576,0.5320820508055363,medium,False,False,human
faketruebr,friend (Friends),10,0.5961779239974728,0.7054390010489339,10,0.3080724197613408,0.30394857930063335,0.288105504236132,0.288105504236132,54.5,0.7547383316962031,0.5304322276522984,medium,False,False,human
faketruebr,anger (Anger),10,0.24747375562379492,0.4166433485105954,10,0.5034836054311211,0.5537568038039501,-0.2560098498073262,0.2560098498073262,35.0,0.2302122470181358,-0.5224482590028668,medium,False,False,machine
faketruebr,leisure (Leisure),10,1.9324224937147167,2.0126377338860006,10,1.0861754329589137,1.1323235054071448,0.846247060755803,0.846247060755803,59.0,0.5198945163559368,0.5182410229409008,medium,False,False,human
faketruebr,adverb (Adverbs),10,6.606813931017735,3.4338280515209116,10,7.912512000692082,1.619872859685947,-1.3056980696743476,1.3056980696743476,37.0,0.344522779098129,-0.4863489454908425,small,False,False,machine
faketruebr,risk (Risk),10,2.532874251736032,1.8308115204710285,10,3.2595498216434713,1.1285528435195025,-0.7266755699074392,0.7266755699074392,37.0,0.344522779098129,-0.47783296197424874,small,False,False,machine
faketruebr,i (I),10,0.125,0.375,10,0.0,0.0,0.125,0.125,55.0,0.36812025069351895,0.47140452079103173,small,False,False,human
faketruebr,swear (Swear),10,0.04784688995215311,0.14354066985645933,10,0.0,0.0,0.04784688995215311,0.04784688995215311,55.0,0.36812025069351895,0.4714045207910317,small,False,False,human
faketruebr,filler (Filler Words),10,0.04784688995215311,0.14354066985645933,10,0.0,0.0,0.04784688995215311,0.04784688995215311,55.0,0.36812025069351895,0.4714045207910317,small,False,False,human
